sample,budget,resource,marginal_benefit_pp,optimal_allocation,allocation_share_pct,alpha,policy_cap
baseline_5,0.28,Lithium,0.042043765132224464,3.440810919198951e-05,0.0034408109191989508,0.65,0.4
baseline_5,0.28,Nickel,0.023581614193148057,6.594046903906694e-06,0.0006594046903906694,0.65,0.4
baseline_5,0.28,Cobalt,0.005582745986590835,1.0748910006755406e-07,1.0748910006755407e-05,0.65,0.4
baseline_5,0.28,Graphite,0.6688132398066777,0.09328525015863043,9.328525015863043,0.65,0.4
baseline_5,0.28,Rare earths,0.8477545602245397,0.18365361200036595,18.365361200036595,0.65,0.4
baseline_5,0.28,Copper,0.20131408792562575,0.003020028195807623,0.3020028195807623,0.65,0.4
baseline_5,0.3,Lithium,0.042043765132224464,3.6865831277131616e-05,0.0036865831277131614,0.65,0.4
baseline_5,0.3,Nickel,0.023581614193148057,7.065050254185746e-06,0.0007065050254185746,0.65,0.4
baseline_5,0.3,Cobalt,0.005582745986590835,1.1516689292952224e-07,1.1516689292952224e-05,0.65,0.4
baseline_5,0.3,Graphite,0.6688132398066777,0.09994848231281835,9.994848231281834,0.65,0.4
baseline_5,0.3,Rare earths,0.8477545602245397,0.19677172714324925,19.677172714324925,0.65,0.4
baseline_5,0.3,Copper,0.20131408792562575,0.0032357444955081693,0.32357444955081693,0.65,0.4
baseline_5,0.32,Lithium,0.042043765132224464,3.9323553362273724e-05,0.0039323553362273726,0.65,0.4
baseline_5,0.32,Nickel,0.023581614193148057,7.536053604464791e-06,0.0007536053604464792,0.65,0.4
baseline_5,0.32,Cobalt,0.005582745986590835,1.2284468579149033e-07,1.2284468579149033e-05,0.65,0.4
baseline_5,0.32,Graphite,0.6688132398066777,0.10661171446700622,10.661171446700623,0.65,0.4
baseline_5,0.32,Rare earths,0.8477545602245397,0.2098898422861325,20.98898422861325,0.65,0.4
baseline_5,0.32,Copper,0.20131408792562575,0.0034514607952087118,0.3451460795208712,0.65,0.4
baseline_5,0.34,Lithium,0.042043765132224464,4.1781275447415824e-05,0.004178127544741583,0.65,0.4
baseline_5,0.34,Nickel,0.023581614193148057,8.007056954743843e-06,0.0008007056954743843,0.65,0.4
baseline_5,0.34,Cobalt,0.005582745986590835,1.3052247865345847e-07,1.3052247865345846e-05,0.65,0.4
baseline_5,0.34,Graphite,0.6688132398066777,0.11327494662119408,11.327494662119408,0.65,0.4
baseline_5,0.34,Rare earths,0.8477545602245397,0.22300795742901575,22.300795742901574,0.65,0.4
baseline_5,0.34,Copper,0.20131408792562575,0.0036671770949092564,0.36671770949092564,0.65,0.4
baseline_5,0.36,Lithium,0.042043765132224464,4.423899753255794e-05,0.004423899753255794,0.65,0.4
baseline_5,0.36,Nickel,0.023581614193148057,8.478060305022895e-06,0.0008478060305022895,0.65,0.4
baseline_5,0.36,Cobalt,0.005582745986590835,1.382002715154266e-07,1.382002715154266e-05,0.65,0.4
baseline_5,0.36,Graphite,0.6688132398066777,0.119938178775382,11.9938178775382,0.65,0.4
baseline_5,0.36,Rare earths,0.8477545602245397,0.23612607257189902,23.612607257189904,0.65,0.4
baseline_5,0.36,Copper,0.20131408792562575,0.003882893394609802,0.3882893394609802,0.65,0.4
baseline_5,0.38,Lithium,0.042043765132224464,4.669671961770006e-05,0.004669671961770006,0.65,0.4
baseline_5,0.38,Nickel,0.023581614193148057,8.949063655301943e-06,0.0008949063655301943,0.65,0.4
baseline_5,0.38,Cobalt,0.005582745986590835,1.458780643773948e-07,1.4587806437739479e-05,0.65,0.4
baseline_5,0.38,Graphite,0.6688132398066777,0.1266014109295699,12.660141092956989,0.65,0.4
baseline_5,0.38,Rare earths,0.8477545602245397,0.24924418771478235,24.924418771478233,0.65,0.4
baseline_5,0.38,Copper,0.20131408792562575,0.004098609694310347,0.40986096943103467,0.65,0.4
baseline_5,0.4,Lithium,0.042043765132224464,4.9154441702842166e-05,0.004915444170284217,0.65,0.4
baseline_5,0.4,Nickel,0.023581614193148057,9.420067005580995e-06,0.0009420067005580995,0.65,0.4
baseline_5,0.4,Cobalt,0.005582745986590835,1.5355585723936292e-07,1.5355585723936293e-05,0.65,0.4
baseline_5,0.4,Graphite,0.6688132398066777,0.13326464308375782,13.326464308375781,0.65,0.4
baseline_5,0.4,Rare earths,0.8477545602245397,0.26236230285766565,26.236230285766567,0.65,0.4
baseline_5,0.4,Copper,0.20131408792562575,0.004314325994010893,0.43143259940108925,0.65,0.4
baseline_5,0.42,Lithium,0.042043765132224464,5.161216378798423e-05,0.005161216378798423,0.65,0.4
baseline_5,0.42,Nickel,0.023581614193148057,9.891070355860041e-06,0.0009891070355860041,0.65,0.4
baseline_5,0.42,Cobalt,0.005582745986590835,1.6123365010133108e-07,1.612336501013311e-05,0.65,0.4
baseline_5,0.42,Graphite,0.6688132398066777,0.13992787523794561,13.992787523794561,0.65,0.4
baseline_5,0.42,Rare earths,0.8477545602245397,0.27548041800054884,27.548041800054886,0.65,0.4
baseline_5,0.42,Copper,0.20131408792562575,0.004530042293711434,0.45300422937114343,0.65,0.4
baseline_5,0.44,Lithium,0.042043765132224464,5.406988587312638e-05,0.005406988587312638,0.65,0.4
baseline_5,0.44,Nickel,0.023581614193148057,1.0362073706139094e-05,0.0010362073706139095,0.65,0.4
baseline_5,0.44,Cobalt,0.005582745986590835,1.6891144296329924e-07,1.6891144296329925e-05,0.65,0.4
baseline_5,0.44,Graphite,0.6688132398066777,0.14659110739213352,14.659110739213352,0.65,0.4
baseline_5,0.44,Rare earths,0.8477545602245397,0.2885985331434322,28.85985331434322,0.65,0.4
baseline_5,0.44,Copper,0.20131408792562575,0.00474575859341198,0.474575859341198,0.65,0.4
baseline_5,0.46,Lithium,0.042043765132224464,5.6527607958268475e-05,0.005652760795826848,0.65,0.4
