seed,resource,marginal_benefit_pp
2115,Nickel,0.005901528195344952
2115,Cobalt,0.013241783690469688
2115,Graphite,0.7558544888850047
2115,Rare earths,0.9926840782926973
2115,Copper,0.12437213447925366
2116,Lithium,0.03632486604148433
2116,Nickel,0.01994913240813112
2116,Cobalt,0.0015276838352349387
2116,Graphite,0.8571909721282935
2116,Rare earths,0.9398451974607891
2116,Copper,0.17486038476154242
2117,Lithium,0.05283846979505302
2117,Nickel,0.017640653245294402
2117,Cobalt,0.0037020883432488105
2117,Graphite,0.546107591087714
2117,Rare earths,0.7113110421014914
2117,Copper,0.13794190469558032
2118,Lithium,0.06546911517442311
2118,Nickel,0.008132082329593615
2118,Cobalt,0.005684666199954336
2118,Graphite,0.5606789174349185
2118,Rare earths,1.0334567000281965
2118,Copper,0.20121666738204702
2119,Lithium,0.023963036763086976
2119,Nickel,0.055784287038527225
2119,Cobalt,0.006840322297660961
2119,Graphite,0.6762852313201382
2119,Rare earths,0.7588316627347496
2119,Copper,0.24955812829276702
2120,Lithium,0.062158011563164806
2120,Nickel,0.03363142105031791
2120,Cobalt,0.004442030274539377
2120,Graphite,0.7744684159137734
2120,Rare earths,0.7100970815914671
2120,Copper,0.30244000778269253
2121,Lithium,0.0298327576482329
2121,Nickel,0.018642808865886096
2121,Cobalt,0.007531886309255498
2121,Graphite,0.7025249669966254
2121,Rare earths,0.9518500303299602
2121,Copper,0.10541889398123061
2122,Lithium,0.0346846186346319
2122,Nickel,0.015438198544048376
2122,Cobalt,0.0029920685286306536
2122,Graphite,0.7396580048916022
2122,Rare earths,0.9864683705528234
2122,Copper,0.16660637240695664
2123,Lithium,0.04573745950475505
2123,Nickel,0.009331660243919515
2123,Cobalt,0.004879747669926715
2123,Graphite,0.8239546208398041
2123,Rare earths,0.6476375509900256
2123,Copper,0.25415842657699983
2124,Lithium,0.031283712447160994
2124,Nickel,0.009180404051541302
2124,Cobalt,0.0074524319009903195
2124,Graphite,0.6160810732389947
2124,Rare earths,0.9867020699128943
2124,Copper,0.2771539854033218
2125,Lithium,0.03442496979321241
2125,Nickel,0.026222899353884443
2125,Cobalt,0.006524850108553082
2125,Graphite,0.7285881379091661
2125,Rare earths,0.8086882217400255
2125,Copper,0.2328829058788564
2126,Lithium,0.04484930668646214
2126,Nickel,0.018405618607040708
2126,Cobalt,0.0037319811969780403
2126,Graphite,0.642742988420153
