seed,economy,K0,HHI,chi,upstream_alignment,upstream_concentration,supplier_entropy,macro_sensitivity,gamma,worstcase_loss_pct
2069,Sweden,1.0,0.2518194641991635,0.042031455870134654,0.8675483186703229,0.18178511860041702,2.0880115949627096,0.9252548249293177,0.20501574542004,7.112324401197324
2069,Denmark,1.0,0.31765503329551564,0.062385964248116085,0.8639006363117974,0.19117229570837757,2.0451456922158004,1.1192926625937347,0.24977182436799408,9.243575464312654
2069,Finland,1.0,0.22371180085033815,0.0398679016318293,0.8840521607830365,0.18525038177470315,2.0632572533368094,0.9126079314326698,0.19966948097250442,6.991576345426477
2070,France,1.0,0.2150746503815092,0.038967895333593225,0.8675870561006295,0.1945743918785156,2.0520849977471385,0.9508962282119509,0.19740287569737486,7.8543669046034905
2070,Germany,1.0,0.235267446643174,0.04384994652355077,0.857397875598319,0.1939681731443147,2.0611313906952873,1.0326252937858198,0.2094037882263613,8.49871486331564
2070,Italy,1.0,0.2564155440011996,0.04580645955082518,0.8753247094970131,0.19311929498981215,2.046510245476917,1.011316562100064,0.2140244368076346,8.324135599804109
2070,Netherlands,1.0,0.2196357436877612,0.04033138809174385,0.8487302610924843,0.1942663034904916,2.069461169604155,1.1414359555133202,0.20082676139335576,9.38448328064806
2070,Spain,1.0,0.25742632254813935,0.051605176240611686,0.9015141600098588,0.20339696638689833,1.981212315636408,1.0555612826145573,0.22716772711063446,9.092219674838534
2070,Sweden,1.0,0.23011385264124556,0.04278897807368978,0.857035697012039,0.19765846791228292,2.049452783563038,0.961305706541775,0.2068549686947108,8.120977476077497
2070,Denmark,1.0,0.30808774073258344,0.06706836888805846,0.8475349674107782,0.20621178063533524,2.013818062005379,0.9803572260484001,0.2589756144660313,8.67425584924642
2070,Finland,1.0,0.2479613840082406,0.0495618422637904,0.8511208093436246,0.20219481762265448,2.0337018732945196,0.9206852714335892,0.22262489138411815,7.937409795135729
2071,France,1.0,0.21615349239342735,0.04060721247950917,0.8625936891273864,0.19988249394973598,2.0385963796789164,0.9679433974641969,0.20151231346870388,8.484736578484819
2071,Germany,1.0,0.22641354692559942,0.03869741853322474,0.8340843765355229,0.19288037541429753,2.079881975240946,0.9376084924292667,0.19671659445309828,7.848916693018046
2071,Italy,1.0,0.24730912151938372,0.0486399770980973,0.8837239694729702,0.201263288566296,2.0154846601083083,0.9765855264141226,0.22054472811222967,8.671293285520008
2071,Netherlands,1.0,0.27795658520021527,0.06000657581303796,0.8780185759057946,0.21119043499812407,1.9680669602722451,1.169743554129143,0.24496239673271888,10.75704484348112
2071,Spain,1.0,0.3029301401945393,0.0621770067252133,0.908816784095319,0.20625509613302026,1.9739712278755424,1.3128375703058133,0.24935317668963694,12.06015416028134
2071,Sweden,1.0,0.2500270822881564,0.049364232893774826,0.8620023013745538,0.20332616478624083,2.0218851099632955,0.9082902239869866,0.22218063123003054,8.133190570338062
2071,Denmark,1.0,0.2691459347621107,0.04801547936710285,0.8291699701076318,0.1941049689880659,2.0743956515151867,0.9554120349853452,0.2191243468150056,8.135715179184347
2071,Finland,1.0,0.23823824119050324,0.04690060741925226,0.8591935830862166,0.20302231650768232,2.0252874896033406,0.890261997667088,0.21656548067328796,7.916648912158627
2072,France,1.0,0.21230986596400903,0.036048174869858646,0.8453513177353578,0.18260139028467134,2.0836620336749667,0.8827697009974197,0.18986356909596597,6.631234077093816
2072,Germany,1.0,0.24061166225897343,0.04024122478716938,0.8400949231619809,0.18104711233029666,2.0929731044384448,1.0058836703117144,0.2006021554898386,7.699145253959809
2072,Italy,1.0,0.24640538052158903,0.042360623573260175,0.877566038887712,0.18120395113804938,2.067804424918276,1.043317482683597,0.20581696619389805,7.955586742433143
2072,Netherlands,1.0,0.2547369603275118,0.04622377437820584,0.8331235778607142,0.18625612795426988,2.071143417225687,1.198122410389223,0.2149971496978642,9.2918041666137
2072,Spain,1.0,0.29041484633141945,0.05199079310413816,0.8962638878062426,0.18426373431732043,2.03733044166661,1.2450147350407887,0.22801489667155117,9.651744263147368
2072,Sweden,1.0,0.22552449298755034,0.03744127569951418,0.8349289313513851,0.18223047883866045,2.0921620175760323,1.038950950290933,0.1934974824113073,7.912327088281544
2072,Denmark,1.0,0.27932778604849123,0.04861935898643971,0.8229730963172082,0.18327130954521037,2.0894283797062254,0.9965912519139728,0.22049797955183106,7.757451124996512
2072,Finland,1.0,0.23491457117124498,0.03980878497898312,0.804137548325673,0.18506941645513444,2.0939492188488065,1.0205706839083504,0.19952138977809653,7.593378841327293
