seed,resource,marginal_benefit_pp
2090,Rare earths,0.8742953973260654
2090,Copper,0.1835590118835242
2091,Lithium,0.042676885237995066
2091,Nickel,0.037096039789592083
2091,Cobalt,0.004689131738740748
2091,Graphite,0.6993555514473915
2091,Rare earths,0.7262575282412875
2091,Copper,0.21217350487649345
2092,Lithium,0.020065734212250774
2092,Nickel,0.024392487489209635
2092,Cobalt,0.004085222086055218
2092,Graphite,0.43665865994931874
2092,Rare earths,0.7587244188171587
2092,Copper,0.3812363407433912
2093,Lithium,0.045838222328537626
2093,Nickel,0.02190684512263985
2093,Cobalt,0.003341876721717263
2093,Graphite,0.5364053869958365
2093,Rare earths,0.616658694574375
2093,Copper,0.06656641342521397
2094,Lithium,0.047537218566713335
2094,Nickel,0.010449250578346891
2094,Cobalt,0.00129623193412165
2094,Graphite,0.6811157056818784
2094,Rare earths,0.8895585518745097
2094,Copper,0.11904661459375099
2095,Lithium,0.03313625905893236
2095,Nickel,0.03035554433647203
2095,Cobalt,0.008404806850643709
2095,Graphite,0.6156221706548628
2095,Rare earths,0.8443970714285154
2095,Copper,0.14058388545417166
2096,Lithium,0.04549457674876134
2096,Nickel,0.03218104877643846
2096,Cobalt,0.006280285232564964
2096,Graphite,0.3428428360137783
2096,Rare earths,0.4322917159082964
2096,Copper,0.1664657554654747
2097,Lithium,0.04895919887195177
2097,Nickel,0.011516898300442335
2097,Cobalt,0.003467264086731703
2097,Graphite,0.5774852334983471
2097,Rare earths,1.0619044469466576
2097,Copper,0.14996679531968837
2098,Lithium,0.04240390141807637
2098,Nickel,0.021513499262809432
2098,Cobalt,0.00042405700217074127
2098,Graphite,0.5587611877162821
2098,Rare earths,0.9331757735388937
2098,Copper,0.21627037822884
2099,Lithium,0.04660095604741166
2099,Nickel,0.009081907348683416
2099,Cobalt,0.001271561238770147
2099,Graphite,0.784161634338048
2099,Rare earths,0.9211393378873449
2099,Copper,0.17448443235834432
2100,Lithium,0.058224161619882864
2100,Nickel,0.017556805379529195
2100,Cobalt,0.005897839852606168
2100,Graphite,0.7535417829160096
2100,Rare earths,0.8742263658195313
2100,Copper,0.24081688154866576
2101,Lithium,0.02259652966211334
2101,Nickel,0.023325845060792716
2101,Cobalt,0.005337283836695406
2101,Graphite,0.5648537794201731
2101,Rare earths,1.0109077321052862
2101,Copper,0.16954504031067685
2102,Lithium,0.04290950325081244
2102,Nickel,0.02525973515517954
2102,Cobalt,0.005058416211848993
2102,Graphite,0.6739057410561333
2102,Rare earths,0.7493881838507797
2102,Copper,0.19487805881017195
2103,Lithium,0.03831384035282426
2103,Nickel,0.021045947062191317
2103,Cobalt,0.004890063311597359
2103,Graphite,0.6615972166839263
2103,Rare earths,0.9578079297843782
2103,Copper,0.13050796712206747
2104,Lithium,0.03551152507540678
2104,Nickel,0.025619611746440896
2104,Cobalt,0.002961816125422345
2104,Graphite,0.40595592793172663
2104,Rare earths,0.4793185345208437
2104,Copper,0.16824019636976129
